#OTUID	KOSMOSD15_M1AS_TT	KOSMOSD15_MPAS_TT	KOSMOSD1_M1BS_TT	KOSMOSD1_MPBS_TT	KOSMOSD24_M1AS_TT	KOSMOSD24_MPAS_TT	KOSMOSD32_M1AS_TT	KOSMOSD32_MPAS_TT	KOSMOSD36_M1AS_TT	KOSMOSD36_MPAS_TT	KOSMOSD42_M1AS_TT	KOSMOSD42_MPAS_TT	KOSMOSD48_M1AS_TT	KOSMOSD48_MPAS_TT	KOSMOSD8_M1AS_TT	KOSMOSD8_MPAS_TT
ASV_28389	1	0	0	3	0	0	0	0	0	2	0	2	0	0	0	0
ASV_28390	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
ASV_28415	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	2
ASV_28416	2	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV_28417	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28421	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0
ASV_28422	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
ASV_28423	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ASV_28424	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0
ASV_28425	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28434	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28436	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28437	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28438	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0
ASV_28439	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0
ASV_28440	0	0	0	0	2	0	1	0	3	0	0	0	0	0	0	0
ASV_28441	0	0	0	0	1	0	1	0	3	0	1	0	0	0	0	0
ASV_28442	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0
ASV_28443	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0
ASV_28444	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ASV_28445	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0
ASV_28446	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_28447	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28448	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ASV_28479	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28485	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28488	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0
ASV_28489	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
ASV_28490	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0
ASV_28491	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0
ASV_28492	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0
ASV_28493	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
