#OTUID	Kingdom	Supergroup	Phylum	Class	Subclass	Order	Suborder	Family	Genus	Species
8727190c50d0303c63de28feafd1ab3e	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae					
fe54a6b3853a4ba111acf8886bee63ae	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Pyrenomonadales	Pyrenomonadales_X			
fa77c54aa003bb04df29a4985077ee61	Unassigned									
178f2b30b80c8008b3f17bfc73d0810f	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophycidae_X	Phaeocystales	Phaeocystales_X	Phaeocystaceae	Phaeocystaceae_X	Phaeocystaceae_X
e2add5bcfbcab9db07e26877cec76df3	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Bacillariophyceae_X	Bacillariophyceae_XX	Bacillariophyceae_XXX	Bacillariophyceae_XXXX	Bacillariophyceae_XXXX
7f729fcd2d6ba69b0b89986b1b5f6ecd	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophycidae_X					
6aefa26af43d40a8162db6f7695c1152	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophycidae_X	Phaeocystales	Phaeocystales_X	Phaeocystaceae		
219828c904ec5c4c164cb82f0183769d	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta						
3d2a21690df214f790747c23c7f50a13	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Pyrenomonadales	Pyrenomonadales_X	Pyrenomonadales_XX	Pyrenomonadales_XXX	Pyrenomonadales_XXX
97e8b13f22527b063865cbdf15a7fa59	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales				
3e3643b6e0f842f3f69a596a42bd32c2	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophycidae_X					
a42714b7e8cebb72a7e41fe898b459cb	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae					
b4ec7581fa901b664e01f6675f340ba2	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophycidae_X	Prymnesiales	Prymnesiales_X			
bc1819f4c88904f014d0865c0a09c8ec	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophycidae_X					
af5fe6cf3758537a4a88e804eed97cbf	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta						
5ac9e1e1f137a918ebee250fbe0d856a	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Pyrenomonadales	Pyrenomonadales_X			
836c8649bf9c3e71c1fecea4f98ece34	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Cymatosirales	Cymatosirales_X	Cymatosiraceae	Cymatosiraceae_X	Cymatosiraceae_X
9ce5610a06f1105885cf685ed73f5a73	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophycidae_X	Phaeocystales	Phaeocystales_X	Phaeocystaceae	Phaeocystaceae_X	Phaeocystaceae_X
af4ff5b85aaf32da9bd50107fcdc75e9	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophycidae_X					
22f0e8a61441d36d0727b04f15253ab0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophycidae_X	Prymnesiales	Prymnesiales_X			
04c08a164d96e07367d93b0dc773e861	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophycidae_X					
8751e2920100fe9f560be4345ab4c8f8	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae						
9eb750f3e4804bdff6cc665113bdd039	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae					
fc253b74f104e63cb6a394122ab281a4	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae					
78219dcf33c2afdd99e4a8415a446671	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae					
f83bf7d8c69bbd4ac60a0a269192e139	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophycidae_X	Prymnesiales	Prymnesiales_X			
a3e34c2f2e7f82059db4c692a3a00005	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Dictyochophyceae_XX	Dictyochophyceae_XXX	Dictyochophyceae_XXXX	Dictyochophyceae_XXXXX	Dictyochophyceae_XXXXX
00cd1bef5a53b8e7548c39a3ddef1846	Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae	Pelagophyceae_X					
07be4271cb7f8a8b37e63efe6b39d245	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales				
4244586faf3a126030cffb1edd2f4596	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophycidae_X	Prymnesiales	Prymnesiales_X			
c250a4a4c9c26bc3252480bbfa1dc2e9	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Dictyochophyceae_XX	Dictyochophyceae_XXX	Dictyochophyceae_XXXX	Dictyochophyceae_XXXXX	Dictyochophyceae_XXXXX
8a6c94726c0780da709f413ba6a92c91	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellophyceae_X	Mamiellales	Mamiellales_X	Bathycoccaceae		
52dfe2f289832be5352278fabd930121	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Bacillariophyceae_X	Bacillariophyceae_XX	Bacillariophyceae_XXX	Bacillariophyceae_XXXX	Bacillariophyceae_XXXX
3e9ecb1735f5d68b8fe25e8346e8f6c6	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae					
c01e132af0927fa3af560ab87826436e	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae					
e63fe703fb79408e5bc38e35b928ae07	Eukaryota	Archaeplastida	Chlorophyta	Chlorodendrophyceae	Chlorodendrophyceae_X	Chlorodendrales	Chlorodendrales_X	Chlorodendraceae	Tetraselmis	Tetraselmis
c1c7f98b129e96e27024c41cb6677824	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellales_X	Cymbellaceae		
